Distrito,Filipe J Nyusi,Daviz M Simango ,Ossufo Mamade,Mario Albin,Total
Angoche,305,9,175,1,490
Barue,3256,47,693,28,4024
Chimoio,2028,123,660,4,2815
Chokwe,3918,208,229,61,4416
Cidade da Beira,2623,1292,839,7,4761
Cidade da Matola,4400,451,1804,20,6675
Cidade de Nampula,1410,98,1184,40,2732
Gondola,1745,113,594,11,2463
Gorongosa,3119,234,1058,51,4462
Gurue,2828,517,1206,13,4564
Manica,2882,117,794,4,3797
Maputo Cidade,5477,576,1674,38,7765
Marromeu,1536,198,533,30,2297
Mocimboa da Praia,665,24,646,9,1344
Mocuba,2837,152,1313,25,4327
Monapo,324,22,242,10,598
Montepuez,1014,51,486,13,1564
Nacala-Porto,1283,40,1136,24,2483
Nhamatanda,2143,113,772,32,3060
Quelimane,4518,357,3908,37,8820
