Distrito,FRELIMO,MDM,RENAMO,AMUSI,Total
Angoche,278,8,180,1,467
Barue,3153,44,724,4,3925
Chimoio,1857,154,713,6,2730
Chokwe,3443,100,160,0,3703
Cidade da Beira,2300,1395,935,7,4637
Cidade da Matola,3731,445,2285,9,6470
Cidade de Nampula,1269,108,1224,46,2647
Gondola,1669,104,585,12,2370
Gorongosa,2849,207,972,10,4038
Gurue,2616,503,1344,17,4480
Manica,2712,105,810,5,3632
Maputo Cidade,4851,516,2071,14,7452
Marromeu,1581,350,468,6,2405
Mocimboa da Praia,651,21,608,8,1288
Mocuba,2530,153,1443,12,4138
Monapo,301,18,232,9,560
Montepuez,936,51,521,6,1514
Nacala-Porto,1049,38,1072,26,2185
Nhamatanda,1984,115,747,14,2860
Quelimane,3803,304,4029,19,8155
