prov,area    ,lat,lng,Total
Cabo Delgado,Mocimboa da Praia,-11.3536,40.3522,2
Cabo Delgado,Montepuez,-13.134,38.9981,13
Nampula,Nampula,-15.11646,39.2666,75
Nampula,Angoche,-16.2325,39.90861,7
Nampula,Monapo,-14.915417,40.298595,13
Nampula,Nacala Porto,-14.56257,40.68538,37
Zambezia,Quelimane,-17.87861,36.88833,17
Zambezia,Gurue,-15.462386,36.983612,16
Zambezia,Mocuba,-16.839096,36.98559,34
Manica,Chimoio,-19.11639,33.48333,31
Manica,Catandica,-18.057169,33.173958,4
Manica,Gondola,-19.08684,33.64619,7
Manica,Manica,-18.936094,32.87562,28
Sofala,Beira,-19.84361,34.83889,25
Sofala,Gorongosa,-18.68532,34.06977,5
Sofala,Marromeu,-18.290625,35.938618,26
Sofala,Nhamatanda,-19.270105,34.20811,66
Gaza,Chokwe,-24.53333,32.98333,27
Maputo,Matola,-25.96222,32.45889,79
Maputo ,Maputo Cidade,-25.972,32.58322,254
